"CBT","0.96 (-3.19, 5.12)","30.04 (0.3, 100.94)","1.52 (-1.59, 6)","0.66 (-2.23, 4.05)","0.08 (-4.21, 4.38)","0.39 (-4.2, 5.25)","0.51 (-2.6, 3.87)","1.21 (-2.86, 5.27)","1.14 (-3.13, 5.49)","0.06 (-4.25, 4.38)","-0.26 (-2.26, 1.99)"
"-0.96 (-5.12, 3.19)","CBT_and_stimulants","29.08 (-1.12, 99.97)","0.55 (-4.43, 6.82)","-0.3 (-5.26, 5.13)","-0.89 (-6.88, 5.07)","-0.56 (-6.74, 5.81)","-0.46 (-5.58, 4.92)","0.24 (-5.55, 6.03)","0.18 (-5.76, 6.18)","-0.91 (-6.87, 5.07)","-1.22 (-5.78, 3.56)"
"-30.04 (-100.94, -0.3)","-29.08 (-99.97, 1.12)","cognitive_remediation","-28.28 (-99.23, 1.63)","-29.31 (-100.2, 0.52)","-30 (-100.98, 0.31)","-29.6 (-100.6, 0.48)","-29.5 (-100.4, 0.39)","-28.84 (-99.84, 1.34)","-28.92 (-99.9, 1.29)","-29.97 (-100.96, 0.27)","-30.23 (-101.17, -0.64)"
"-1.52 (-6, 1.59)","-0.55 (-6.82, 4.43)","28.28 (-1.63, 99.23)","DBT","-0.87 (-5.63, 3.15)","-1.45 (-7.77, 3.71)","-1.12 (-7.12, 3.88)","-1.02 (-6.18, 3.14)","-0.29 (-6.51, 4.62)","-0.4 (-6.72, 4.8)","-1.48 (-7.84, 3.66)","-1.77 (-5.85, 1.24)"
"-0.66 (-4.05, 2.23)","0.3 (-5.13, 5.26)","29.31 (-0.52, 100.2)","0.87 (-3.15, 5.63)","mindfulness","-0.59 (-6.12, 4.49)","-0.25 (-5.45, 4.63)","-0.15 (-2.91, 2.37)","0.56 (-4.85, 5.47)","0.47 (-5.06, 5.63)","-0.61 (-6.15, 4.48)","-0.9 (-3.84, 1.7)"
"-0.08 (-4.38, 4.21)","0.89 (-5.07, 6.88)","30 (-0.31, 100.98)","1.45 (-3.71, 7.77)","0.59 (-4.49, 6.12)","neurofeedback","0.33 (-5.98, 6.82)","0.43 (-4.83, 5.92)","1.13 (-4.77, 7.04)","1.07 (-5.01, 7.15)","-0.02 (-4.31, 4.3)","-0.33 (-5, 4.54)"
"-0.39 (-5.25, 4.2)","0.56 (-5.81, 6.74)","29.6 (-0.48, 100.6)","1.12 (-3.88, 7.12)","0.25 (-4.63, 5.45)","-0.33 (-6.82, 5.98)","physical_training","0.11 (-5.22, 5.43)","0.81 (-5.55, 6.92)","0.74 (-5.73, 7.06)","-0.35 (-6.79, 5.96)","-0.64 (-4.9, 3.57)"
"-0.51 (-3.87, 2.6)","0.46 (-4.92, 5.58)","29.5 (-0.39, 100.4)","1.02 (-3.14, 6.18)","0.15 (-2.37, 2.91)","-0.43 (-5.92, 4.83)","-0.11 (-5.43, 5.22)","psychoeducation","0.7 (-4.6, 5.78)","0.63 (-4.87, 5.96)","-0.45 (-5.97, 4.81)","-0.76 (-4.02, 2.47)"
"-1.21 (-5.27, 2.86)","-0.24 (-6.03, 5.55)","28.84 (-1.34, 99.84)","0.29 (-4.62, 6.51)","-0.56 (-5.47, 4.85)","-1.13 (-7.04, 4.77)","-0.81 (-6.92, 5.55)","-0.7 (-5.78, 4.6)","psychological_placebo","-0.07 (-5.97, 5.92)","-1.15 (-7.05, 4.74)","-1.47 (-5.93, 3.25)"
"-1.14 (-5.49, 3.13)","-0.18 (-6.18, 5.76)","28.92 (-1.29, 99.9)","0.4 (-4.8, 6.72)","-0.47 (-5.63, 5.06)","-1.07 (-7.15, 5.01)","-0.74 (-7.06, 5.73)","-0.63 (-5.96, 4.87)","0.07 (-5.92, 5.97)","relaxation_therapy","-1.09 (-7.19, 4.98)","-1.39 (-6.11, 3.48)"
"-0.06 (-4.38, 4.25)","0.91 (-5.07, 6.87)","29.97 (-0.27, 100.96)","1.48 (-3.66, 7.84)","0.61 (-4.48, 6.15)","0.02 (-4.3, 4.31)","0.35 (-5.96, 6.79)","0.45 (-4.81, 5.97)","1.15 (-4.74, 7.05)","1.09 (-4.98, 7.19)","sham_and_neurofeedback","-0.31 (-5.01, 4.6)"
"0.26 (-1.99, 2.26)","1.22 (-3.56, 5.78)","30.23 (0.64, 101.17)","1.77 (-1.24, 5.85)","0.9 (-1.7, 3.84)","0.33 (-4.54, 5)","0.64 (-3.57, 4.9)","0.76 (-2.47, 4.02)","1.47 (-3.25, 5.93)","1.39 (-3.48, 6.11)","0.31 (-4.6, 5.01)","waiting_list"
