"CBT","0.97 (-3.18, 5.13)","30.55 (0.36, 102.19)","1.51 (-1.59, 5.98)","0.66 (-2.23, 4.06)","0.08 (-4.21, 4.41)","0.4 (-4.2, 5.25)","0.51 (-2.62, 3.88)","1.21 (-2.83, 5.29)","1.14 (-3.1, 5.52)","0.05 (-4.22, 4.3)","-0.26 (-2.26, 2)"
"-0.97 (-5.13, 3.18)","CBT_and_stimulants","29.61 (-1.08, 101.22)","0.54 (-4.45, 6.8)","-0.32 (-5.26, 5.13)","-0.89 (-6.83, 5.08)","-0.56 (-6.73, 5.85)","-0.48 (-5.61, 4.93)","0.24 (-5.57, 6.04)","0.17 (-5.76, 6.17)","-0.92 (-6.86, 5.03)","-1.23 (-5.78, 3.54)"
"-30.55 (-102.19, -0.36)","-29.61 (-101.22, 1.08)","cognitive_remediation","-28.87 (-100.35, 1.59)","-29.81 (-101.38, 0.49)","-30.48 (-102.15, 0.18)","-30.15 (-101.7, 0.45)","-30.01 (-101.63, 0.34)","-29.37 (-100.89, 1.29)","-29.39 (-100.96, 1.32)","-30.54 (-102.18, 0.15)","-30.76 (-102.33, -0.68)"
"-1.51 (-5.98, 1.59)","-0.54 (-6.8, 4.45)","28.87 (-1.59, 100.35)","DBT","-0.87 (-5.61, 3.18)","-1.45 (-7.75, 3.67)","-1.12 (-7.1, 3.89)","-1.03 (-6.13, 3.11)","-0.3 (-6.48, 4.64)","-0.39 (-6.7, 4.8)","-1.48 (-7.78, 3.63)","-1.77 (-5.83, 1.24)"
"-0.66 (-4.06, 2.23)","0.32 (-5.13, 5.26)","29.81 (-0.49, 101.38)","0.87 (-3.18, 5.61)","mindfulness","-0.59 (-6.15, 4.49)","-0.26 (-5.44, 4.63)","-0.15 (-2.93, 2.37)","0.56 (-4.82, 5.42)","0.48 (-5.11, 5.63)","-0.61 (-6.17, 4.45)","-0.9 (-3.86, 1.69)"
"-0.08 (-4.41, 4.21)","0.89 (-5.08, 6.83)","30.48 (-0.18, 102.15)","1.45 (-3.67, 7.75)","0.59 (-4.49, 6.15)","neurofeedback","0.33 (-5.97, 6.77)","0.42 (-4.83, 5.93)","1.12 (-4.77, 7.04)","1.07 (-4.97, 7.15)","-0.02 (-4.32, 4.26)","-0.33 (-5.02, 4.54)"
"-0.4 (-5.25, 4.2)","0.56 (-5.85, 6.73)","30.15 (-0.45, 101.7)","1.12 (-3.89, 7.1)","0.26 (-4.63, 5.44)","-0.33 (-6.77, 5.97)","physical_training","0.09 (-5.19, 5.44)","0.8 (-5.54, 6.92)","0.74 (-5.74, 7.05)","-0.36 (-6.84, 5.93)","-0.66 (-4.87, 3.56)"
"-0.51 (-3.88, 2.62)","0.48 (-4.93, 5.61)","30.01 (-0.34, 101.63)","1.03 (-3.11, 6.13)","0.15 (-2.37, 2.93)","-0.42 (-5.93, 4.83)","-0.09 (-5.44, 5.19)","psychoeducation","0.71 (-4.57, 5.77)","0.64 (-4.86, 5.96)","-0.45 (-5.94, 4.8)","-0.75 (-4.01, 2.46)"
"-1.21 (-5.29, 2.83)","-0.24 (-6.04, 5.57)","29.37 (-1.29, 100.89)","0.3 (-4.64, 6.48)","-0.56 (-5.42, 4.82)","-1.12 (-7.04, 4.77)","-0.8 (-6.92, 5.54)","-0.71 (-5.77, 4.57)","psychological_placebo","-0.07 (-5.95, 5.89)","-1.15 (-7.05, 4.72)","-1.47 (-5.95, 3.23)"
"-1.14 (-5.52, 3.1)","-0.17 (-6.17, 5.76)","29.39 (-1.32, 100.96)","0.39 (-4.8, 6.7)","-0.48 (-5.63, 5.11)","-1.07 (-7.15, 4.97)","-0.74 (-7.05, 5.74)","-0.64 (-5.96, 4.86)","0.07 (-5.89, 5.95)","relaxation_therapy","-1.1 (-7.19, 4.93)","-1.39 (-6.14, 3.47)"
"-0.05 (-4.3, 4.22)","0.92 (-5.03, 6.86)","30.54 (-0.15, 102.18)","1.48 (-3.63, 7.78)","0.61 (-4.45, 6.17)","0.02 (-4.26, 4.32)","0.36 (-5.93, 6.84)","0.45 (-4.8, 5.94)","1.15 (-4.72, 7.05)","1.1 (-4.93, 7.19)","sham_and_neurofeedback","-0.3 (-4.97, 4.59)"
"0.26 (-2, 2.26)","1.23 (-3.54, 5.78)","30.76 (0.68, 102.33)","1.77 (-1.24, 5.83)","0.9 (-1.69, 3.86)","0.33 (-4.54, 5.02)","0.66 (-3.56, 4.87)","0.75 (-2.46, 4.01)","1.47 (-3.23, 5.95)","1.39 (-3.47, 6.14)","0.3 (-4.59, 4.97)","waiting_list"
