"study","t","mean","sd","n","id","rob","indirectness"
"Weisler 2006","stimulants",14.8,7,119,1,"3",1
"Weisler 2006","placebo",18.23,7.368,58,1,"3",1
"Wilens 2008","atomoxetine",-12.9,12.8,72,2,"3",1
"Wilens 2008","placebo",-8.3,12.9,75,2,"3",1
"Adler 2008a","atomoxetine",24.1,9.82264730100801,251,3,"1",1
"Adler 2008a","placebo",27,9.49218626028799,134,3,"1",1
"Adler 2009b","atomoxetine",32.64,13.31,242,4,"2",1
"Adler 2009b","placebo",38.58,14.13,245,4,"2",1
"Arnold 2014","modafinil",-12.2725,14.7348,141,5,"1",1
"Arnold 2014","placebo",-13.1,15.03,72,5,"1",1
"Casas 2013","stimulants",35.5,15.4,182,6,"3",1
"Casas 2013","placebo",40.3,14.5,97,6,"3",1
"Durell 2013","atomoxetine",-11.88,11.3670447496209,189,7,"3",1
"Durell 2013","placebo",-7.84,11.3670447496209,197,7,"3",1
"Ginsberg 2012","placebo",54.7,8.9,15,8,"1",1
"Ginsberg 2012","stimulants",36.8,12.12,15,8,"1",1
"Huss 2014","stimulants",-14.3,13.72,455,9,"2",1
"Huss 2014","placebo",-6.8,12.2,147,9,"2",1
"Kuperman 2001","bupropion",-13.7,6.9,11,10,"1",1
"Kuperman 2001","placebo",-12.4,10.6,11,10,"1",1
"McRae-Clark 2010","atomoxetine",-12.65,7.6,19,11,"2",1
"McRae-Clark 2010","placebo",-10.16,7.73,19,11,"2",1
"Medori 2008","stimulants",-12,13.9,280,12,"1",1
"Medori 2008","placebo",-5.8,11.26,91,12,"1",1
"Michelson 2003a","atomoxetine",-16,16.2,133,13,"1",1
"Michelson 2003a","placebo",-9.3,14,134,13,"1",1
"Paterson 1999","stimulants",4.75,6.2,24,14,"2",1
"Paterson 1999","placebo",8,7.8,21,14,"2",1
"Rosler 2009","stimulants",78,36.3,239,15,"3",1
"Rosler 2009","placebo",88.2,38.5,118,15,"3",1
"Takahashi 2014","stimulants",-10.7,9.85,143,16,"1",1
"Takahashi 2014","placebo",-6.6,10.06,140,16,"1",1
"Taylor 2000","modafinil",18.3,11.2,22,17,"2",1
"Taylor 2000","stimulants",20,11.3,22,17,"2",1
"Taylor 2000","placebo",28.8,10,22,17,"2",1
"Taylor 2001","guanfacine",22.3,8.2,17,18,"2",1
"Taylor 2001","stimulants",24.2,12,17,18,"2",1
"Taylor 2001","placebo",30.4,10.6,17,18,"2",1
"Tenenbaum 2002","stimulants",2.08,2.6,24,19,"3",1
"Tenenbaum 2002","placebo",2.1,2.2,24,19,"3",1
"Goodman 2016","stimulants",32.6,16.04,166,20,"2",1
"Goodman 2016","placebo",37.5,16.33,167,20,"2",1
"Biehl 2016","stimulants",54.5,12.6,14,21,"2",1
"Biehl 2016","placebo",64.7,13.8,13,21,"2",1
"Hamedi 2014","bupropion",23.71,15.34,21,22,"1",1
"Hamedi 2014","placebo",34.43,10.09,21,22,"1",1
"Lin 2016","atomoxetine",11.085,6.4320613370426,12,23,"2",1
"Lin 2016","placebo",17.415,11.3366019370119,12,23,"2",1
"Michelson 2003b","atomoxetine",-17.3,17.6,124,24,"1",1
"Michelson 2003b","placebo",-11.6,16.1,124,24,"1",1
"Weiss 2020","placebo",60.7,13.1,78,25,"1",1
"Weiss 2020","stimulants",58,12.4,297,25,"1",1
"Kooij 2004","stimulants",1.37,0.65,25,26,"1",1
"Kooij 2004","placebo",1.55,0.56,20,26,"1",1
"Philipsen 2015","stimulants",20.9,9.6,91,27,"2",1
"Philipsen 2015","placebo",22.5,9.8,79,27,"2",1
"Philipsen 2015","DBT + stimulants",20.7,9.3,87,27,"2",1
"Philipsen 2015","DBT + placebo",23.4,9.1,84,27,"2",1
